１）男性の統計量,,,,,,,,,,,２）女性の統計量,,,,,,,,,
ID,,N,平均値,S.D.,最小値,最大値,中央値,歪度,尖度,,ID,,N,平均値,S.D.,最小値,最大値,中央値,歪度,尖度
B11,第４指遠位関節幅,327,14.9,0.8,12.8,17.8,14.8,0.466,0.539,,B11,第４指遠位関節幅,203,13.1,0.6,11.7,14.8,13.09,0.194,-0.084
B12,第５指近位関節幅,327,15.0,0.9,13.0,18.0,14.9,0.435,0.414,,B12,第５指近位関節幅,203,13.2,0.7,11.6,15.6,13.19,0.245,0.125
B13,第５指遠位関節幅,327,13.4,0.8,11.0,16.1,13.4,0.493,0.555,,B13,第５指遠位関節幅,203,11.8,0.7,10.1,13.6,11.74,0.385,0.250
D01,第１指関節厚,327,17.3,1.0,14.2,20.1,17.2,0.286,-0.058,,D01,第１指関節厚,203,15.3,0.8,13.5,17.5,15.25,0.404,-0.171
D02,第２指近位関節厚,327,16.8,0.9,14.5,20.1,16.8,0.427,0.699,,D02,第２指近位関節厚,203,14.8,0.7,13.4,17.1,14.81,0.392,0.058
D03,第２指遠位関節厚,327,13.0,0.8,11.1,15.5,13.0,0.200,-0.074,,D03,第２指遠位関節厚,203,11.5,0.6,9.9,13.4,11.45,0.269,-0.156
D04,第３指近位関節厚,327,17.3,1.0,14.9,21.0,17.3,0.475,0.550,,D04,第３指近位関節厚,203,15.3,0.8,13.1,17.1,15.28,-0.034,-0.137
D05,第３指遠位関節厚,327,13.6,0.9,11.4,16.8,13.6,0.458,0.744,,D05,第３指遠位関節厚,203,11.9,0.6,10.0,13.8,11.89,0.055,-0.094
D06,第４指近位関節厚,327,16.1,1.1,13.7,20.7,16.1,0.609,1.020,,D06,第４指近位関節厚,203,14.3,0.8,12.5,16.1,14.25,0.246,-0.526
D07,第４指遠位関節厚,327,12.7,0.9,10.7,16.0,12.7,0.475,0.681,,D07,第４指遠位関節厚,203,11.2,0.7,9.6,13.1,11.13,0.053,-0.227
D08,第５指近位関節厚,327,14.3,1.0,11.4,17.5,14.2,0.241,0.286,,D08,第５指近位関節厚,203,12.6,0.8,11.0,15.0,12.56,0.366,-0.359
D09,第５指遠位関節厚,327,11.5,0.9,9.5,14.9,11.5,0.390,0.061,,D09,第５指遠位関節厚,203,10.2,0.7,8.7,12.6,10.1,0.537,0.382
D10,手厚：第３中手骨頭,327,32.1,2.1,27.0,38.2,32.1,0.306,-0.168,,D10,手厚：第３中手骨頭,203,27.8,1.8,23.2,32.1,27.77,0.117,-0.399
D11,手厚：第１中手骨頭,327,26.9,1.9,22.3,32.9,26.7,0.429,0.286,,D11,手厚：第１中手骨頭,203,23.5,1.3,19.3,26.9,23.47,0.051,0.074
